Data As Of,Start Date,End Date,Group,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,P&C Deaths,Influenza Deaths,P/I/C Deaths
09/27/2023,01/01/2022,12/31/2022,By Year,Kansas,Female,65-74 years,245.0,2692.0,218.0,109.0,14.0,367.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kansas,Female,75-84 years,256.0,3677.0,256.0,88.0,22.0,444.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kansas,Female,85 years and over,358.0,5748.0,340.0,110.0,28.0,615.0
09/27/2023,01/01/2023,09/23/2023,By Year,Kansas,Male,Under 1 year,0.0,76.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Kansas,Female,Under 1 year,0.0,54.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Male,1-4 years,0.0,27.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Male,5-14 years,0.0,48.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Male,50-64 years,322.0,6450.0,567.0,163.0,19.0,745.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Male,55-64 years,266.0,5081.0,474.0,138.0,15.0,617.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Male,65-74 years,601.0,6774.0,848.0,340.0,19.0,1126.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Male,75-84 years,683.0,6810.0,952.0,382.0,15.0,1268.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Male,85 years and over,584.0,5008.0,672.0,277.0,12.0,991.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Female,50-64 years,254.0,4192.0,415.0,128.0,18.0,558.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Female,55-64 years,206.0,3335.0,339.0,106.0,16.0,454.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Female,65-74 years,420.0,5219.0,612.0,205.0,20.0,846.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Female,75-84 years,654.0,6734.0,797.0,308.0,13.0,1155.0
09/27/2023,01/01/2020,12/31/2020,By Year,Kentucky,Female,85 years and over,995.0,8357.0,835.0,340.0,14.0,1504.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Male,1-4 years,0.0,25.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Male,18-29 years,40.0,849.0,26.0,14.0,0.0,52.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Male,25-34 years,59.0,1052.0,35.0,24.0,0.0,70.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Male,30-39 years,100.0,1331.0,78.0,54.0,0.0,124.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Male,85 years and over,630.0,4895.0,667.0,329.0,0.0,968.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Female,1-4 years,0.0,28.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Female,18-29 years,24.0,351.0,19.0,13.0,0.0,30.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Female,25-34 years,44.0,444.0,31.0,22.0,0.0,53.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Female,30-39 years,72.0,648.0,53.0,34.0,0.0,91.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Female,35-44 years,131.0,922.0,108.0,75.0,0.0,164.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Female,40-49 years,193.0,1228.0,169.0,120.0,0.0,242.0
09/27/2023,01/01/2021,12/31/2021,By Year,Kentucky,Female,45-54 years,299.0,1733.0,277.0,182.0,0.0,394.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Male,50-64 years,534.0,6346.0,625.0,270.0,18.0,901.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Male,55-64 years,413.0,4965.0,503.0,209.0,17.0,718.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Male,65-74 years,774.0,7232.0,919.0,389.0,32.0,1334.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Male,75-84 years,880.0,7339.0,1027.0,431.0,26.0,1500.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Male,85 years and over,572.0,4833.0,585.0,244.0,33.0,941.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Female,50-64 years,406.0,4328.0,509.0,205.0,32.0,739.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Female,55-64 years,330.0,3465.0,413.0,163.0,31.0,608.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Female,65-74 years,608.0,5664.0,693.0,282.0,36.0,1050.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Female,75-84 years,836.0,7423.0,872.0,369.0,37.0,1369.0
09/27/2023,01/01/2022,12/31/2022,By Year,Kentucky,Female,85 years and over,880.0,7915.0,705.0,279.0,39.0,1337.0
09/27/2023,01/01/2023,09/23/2023,By Year,Kentucky,Male,75-84 years,196.0,4741.0,421.0,76.0,15.0,554.0
09/27/2023,01/01/2023,09/23/2023,By Year,Kentucky,Female,75-84 years,178.0,4702.0,422.0,53.0,12.0,556.0
09/27/2023,01/01/2023,09/23/2023,By Year,Kentucky,Female,85 years and over,213.0,4980.0,349.0,57.0,10.0,514.0
09/27/2023,01/01/2020,12/31/2020,By Year,Louisiana,Male,50-64 years,690.0,6432.0,564.0,355.0,11.0,909.0
09/27/2023,01/01/2020,12/31/2020,By Year,Louisiana,Male,65-74 years,1025.0,7103.0,864.0,554.0,12.0,1345.0
09/27/2023,01/01/2020,12/31/2020,By Year,Louisiana,Female,50-64 years,511.0,4277.0,440.0,264.0,13.0,698.0
09/27/2023,01/01/2020,12/31/2020,By Year,Louisiana,Female,75-84 years,971.0,6632.0,741.0,470.0,12.0,1254.0
09/27/2023,01/01/2020,12/31/2020,By Year,Louisiana,Female,85 years and over,980.0,8376.0,759.0,440.0,11.0,1310.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Male,15-24 years,24.0,651.0,14.0,11.0,0.0,27.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Male,18-29 years,45.0,1044.0,29.0,23.0,0.0,51.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Male,25-34 years,79.0,1216.0,53.0,36.0,0.0,96.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Male,30-39 years,119.0,1511.0,69.0,46.0,0.0,142.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Male,35-44 years,183.0,1790.0,115.0,86.0,0.0,212.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Male,40-49 years,281.0,2081.0,182.0,148.0,0.0,315.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Male,45-54 years,417.0,2703.0,283.0,227.0,0.0,473.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,15-24 years,22.0,233.0,14.0,10.0,0.0,26.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,18-29 years,37.0,399.0,25.0,17.0,0.0,45.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,25-34 years,59.0,534.0,46.0,34.0,0.0,71.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,30-39 years,105.0,761.0,77.0,65.0,0.0,117.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,35-44 years,147.0,972.0,110.0,94.0,0.0,163.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,40-49 years,196.0,1186.0,137.0,112.0,0.0,221.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,65-74 years,811.0,5395.0,651.0,461.0,0.0,1001.0
09/27/2023,01/01/2021,12/31/2021,By Year,Louisiana,Female,85 years and over,573.0,7483.0,498.0,250.0,0.0,821.0
09/27/2023,01/01/2022,12/31/2022,By Year,Louisiana,Male,65-74 years,409.0,6588.0,428.0,204.0,15.0,647.0
09/27/2023,01/01/2022,12/31/2022,By Year,Louisiana,Female,35-44 years,35.0,847.0,34.0,14.0,0.0,55.0
09/27/2023,01/01/2022,12/31/2022,By Year,Louisiana,Female,50-64 years,234.0,3874.0,255.0,108.0,16.0,397.0
09/27/2023,01/01/2022,12/31/2022,By Year,Louisiana,Female,55-64 years,193.0,3111.0,202.0,90.0,13.0,318.0
09/27/2023,01/01/2023,09/23/2023,By Year,Louisiana,Female,65-74 years,42.0,3132.0,129.0,13.0,0.0,158.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maine,Male,Under 1 year,0.0,39.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maine,Male,5-14 years,0.0,11.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maine,Male,15-24 years,0.0,88.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maine,Female,Under 1 year,0.0,33.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maine,Female,85 years and over,124.0,3132.0,183.0,23.0,12.0,296.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,Under 1 year,0.0,29.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,0-17 years,0.0,58.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,1-4 years,0.0,12.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,40-49 years,32.0,421.0,22.0,12.0,0.0,42.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,45-54 years,51.0,612.0,39.0,16.0,0.0,74.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,50-64 years,159.0,1750.0,118.0,45.0,0.0,232.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,55-64 years,128.0,1366.0,91.0,36.0,0.0,183.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,75-84 years,216.0,2333.0,223.0,72.0,0.0,367.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Male,85 years and over,150.0,2067.0,184.0,40.0,0.0,294.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Female,65-74 years,111.0,1410.0,115.0,45.0,0.0,181.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maine,Female,75-84 years,180.0,2066.0,151.0,44.0,0.0,287.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maine,Male,Under 1 year,0.0,41.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maine,Male,75-84 years,166.0,2293.0,228.0,50.0,10.0,352.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maine,Female,85 years and over,181.0,3155.0,177.0,29.0,15.0,343.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maine,Male,Under 1 year,0.0,22.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maine,Male,0-17 years,0.0,45.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maine,Male,5-14 years,0.0,11.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maine,Female,Under 1 year,0.0,17.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maine,Female,15-24 years,0.0,21.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maine,Female,18-29 years,0.0,35.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Male,50-64 years,626.0,6089.0,505.0,242.0,17.0,902.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Male,55-64 years,489.0,4769.0,391.0,182.0,14.0,709.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Male,65-74 years,754.0,6468.0,701.0,328.0,10.0,1137.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Male,75-84 years,1001.0,7040.0,914.0,423.0,18.0,1510.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Male,85 years and over,877.0,6858.0,828.0,326.0,18.0,1393.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Female,35-44 years,42.0,715.0,44.0,10.0,0.0,76.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Female,50-64 years,352.0,3895.0,329.0,137.0,15.0,558.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Female,55-64 years,280.0,3114.0,267.0,113.0,14.0,447.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Female,65-74 years,595.0,5028.0,532.0,242.0,17.0,901.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Female,75-84 years,879.0,6909.0,734.0,360.0,21.0,1270.0
09/27/2023,01/01/2020,12/31/2020,By Year,Maryland,Female,85 years and over,1333.0,11269.0,1034.0,418.0,19.0,1964.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,1-4 years,0.0,17.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,18-29 years,27.0,899.0,27.0,11.0,0.0,43.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,25-34 years,49.0,1074.0,37.0,22.0,0.0,64.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,30-39 years,71.0,1242.0,58.0,34.0,0.0,95.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,35-44 years,104.0,1390.0,84.0,47.0,0.0,141.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,40-49 years,166.0,1559.0,118.0,71.0,0.0,213.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,55-64 years,591.0,4783.0,495.0,288.0,0.0,798.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Male,65-74 years,765.0,6469.0,737.0,365.0,0.0,1137.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Female,1-4 years,0.0,29.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Female,25-34 years,29.0,403.0,22.0,10.0,0.0,41.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Female,30-39 years,46.0,586.0,40.0,23.0,0.0,63.0
09/27/2023,01/01/2021,12/31/2021,By Year,Maryland,Female,35-44 years,71.0,743.0,63.0,33.0,0.0,101.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maryland,Male,75-84 years,636.0,6880.0,674.0,223.0,14.0,1101.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maryland,Male,85 years and over,623.0,6431.0,637.0,234.0,15.0,1040.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maryland,Female,1-4 years,0.0,26.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maryland,Female,65-74 years,393.0,4867.0,442.0,161.0,14.0,687.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maryland,Female,75-84 years,551.0,6828.0,585.0,199.0,10.0,945.0
09/27/2023,01/01/2022,12/31/2022,By Year,Maryland,Female,85 years and over,702.0,9940.0,738.0,212.0,28.0,1249.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maryland,Female,Under 1 year,0.0,93.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Maryland,Female,75-84 years,125.0,4607.0,275.0,32.0,10.0,378.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Male,1-4 years,0.0,16.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Male,45-54 years,130.0,2032.0,101.0,46.0,10.0,195.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Male,50-64 years,542.0,5910.0,490.0,236.0,30.0,825.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Male,55-64 years,459.0,4641.0,419.0,208.0,25.0,694.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Male,65-74 years,966.0,7025.0,847.0,413.0,24.0,1424.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Male,75-84 years,1460.0,8411.0,1177.0,605.0,31.0,2062.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Male,85 years and over,1830.0,9679.0,1387.0,708.0,23.0,2530.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Female,Under 1 year,0.0,115.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Female,1-4 years,0.0,15.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Female,50-64 years,305.0,3487.0,286.0,133.0,13.0,468.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Female,65-74 years,630.0,5083.0,524.0,267.0,13.0,900.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Female,75-84 years,1312.0,8156.0,987.0,502.0,25.0,1822.0
09/27/2023,01/01/2020,12/31/2020,By Year,Massachusetts,Female,85 years and over,3003.0,16210.0,1736.0,870.0,39.0,3906.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Male,Under 1 year,0.0,139.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Male,25-34 years,43.0,882.0,25.0,16.0,0.0,52.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Male,30-39 years,55.0,1143.0,42.0,26.0,0.0,71.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Male,35-44 years,62.0,1246.0,55.0,32.0,0.0,85.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Female,Under 1 year,0.0,115.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Female,30-39 years,19.0,518.0,23.0,11.0,0.0,31.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Female,35-44 years,33.0,638.0,33.0,15.0,0.0,51.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Female,40-49 years,42.0,775.0,40.0,17.0,0.0,65.0
09/27/2023,01/01/2021,12/31/2021,By Year,Massachusetts,Female,45-54 years,75.0,1171.0,93.0,43.0,0.0,125.0
09/27/2023,01/01/2022,12/31/2022,By Year,Massachusetts,Male,65-74 years,506.0,6717.0,580.0,239.0,13.0,859.0
09/27/2023,01/01/2022,12/31/2022,By Year,Massachusetts,Male,75-84 years,622.0,8165.0,811.0,273.0,23.0,1183.0
09/27/2023,01/01/2022,12/31/2022,By Year,Massachusetts,Male,85 years and over,723.0,8489.0,788.0,290.0,38.0,1255.0
09/27/2023,01/01/2022,12/31/2022,By Year,Massachusetts,Female,65-74 years,334.0,5061.0,418.0,147.0,24.0,628.0
09/27/2023,01/01/2022,12/31/2022,By Year,Massachusetts,Female,75-84 years,464.0,7882.0,566.0,173.0,32.0,888.0
09/27/2023,01/01/2022,12/31/2022,By Year,Massachusetts,Female,85 years and over,976.0,13853.0,882.0,280.0,48.0,1621.0
09/27/2023,01/01/2023,09/23/2023,By Year,Massachusetts,Male,65-74 years,97.0,4482.0,301.0,37.0,12.0,373.0
09/27/2023,01/01/2023,09/23/2023,By Year,Massachusetts,Male,75-84 years,177.0,5716.0,465.0,65.0,13.0,587.0
09/27/2023,01/01/2023,09/23/2023,By Year,Massachusetts,Male,85 years and over,243.0,5838.0,471.0,84.0,19.0,647.0
09/27/2023,01/01/2023,09/23/2023,By Year,Massachusetts,Female,65-74 years,62.0,3353.0,211.0,25.0,11.0,259.0
09/27/2023,01/01/2023,09/23/2023,By Year,Massachusetts,Female,75-84 years,154.0,5480.0,358.0,45.0,13.0,478.0
09/27/2023,01/01/2023,09/23/2023,By Year,Massachusetts,Female,85 years and over,315.0,9350.0,495.0,71.0,30.0,766.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Male,45-54 years,337.0,3876.0,308.0,183.0,15.0,477.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Male,50-64 years,1038.0,11453.0,1078.0,565.0,36.0,1586.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Male,55-64 years,834.0,9130.0,894.0,455.0,25.0,1297.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Male,65-74 years,1708.0,13519.0,1611.0,924.0,40.0,2430.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Male,75-84 years,2004.0,14674.0,1913.0,1069.0,27.0,2871.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Male,85 years and over,1616.0,13667.0,1504.0,784.0,23.0,2358.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Female,45-54 years,181.0,2315.0,199.0,100.0,10.0,290.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Female,50-64 years,608.0,7136.0,718.0,347.0,39.0,1018.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Female,55-64 years,504.0,5715.0,597.0,287.0,30.0,844.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Female,65-74 years,1098.0,9973.0,1125.0,591.0,32.0,1664.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Female,75-84 years,1517.0,13573.0,1357.0,715.0,33.0,2190.0
09/27/2023,01/01/2020,12/31/2020,By Year,Michigan,Female,85 years and over,2306.0,21728.0,1784.0,880.0,28.0,3238.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Male,18-29 years,68.0,1358.0,55.0,38.0,0.0,85.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Male,25-34 years,118.0,1681.0,96.0,63.0,0.0,151.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Male,30-39 years,185.0,2060.0,143.0,98.0,0.0,230.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Male,45-54 years,779.0,4310.0,597.0,466.0,0.0,910.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Female,15-24 years,19.0,304.0,18.0,11.0,0.0,26.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Female,18-29 years,44.0,544.0,44.0,27.0,0.0,61.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Female,25-34 years,73.0,732.0,64.0,45.0,0.0,92.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Female,30-39 years,126.0,1045.0,102.0,73.0,0.0,155.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Female,35-44 years,203.0,1315.0,170.0,121.0,0.0,252.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Female,40-49 years,277.0,1666.0,218.0,162.0,0.0,333.0
09/27/2023,01/01/2021,12/31/2021,By Year,Michigan,Female,45-54 years,431.0,2487.0,348.0,255.0,0.0,524.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Male,50-64 years,686.0,10625.0,738.0,315.0,12.0,1120.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Male,55-64 years,544.0,8362.0,592.0,252.0,10.0,893.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Male,65-74 years,1061.0,13229.0,1232.0,505.0,29.0,1816.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Male,75-84 years,1163.0,14151.0,1241.0,555.0,28.0,1873.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Male,85 years and over,1125.0,12348.0,991.0,427.0,22.0,1710.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Female,25-34 years,37.0,702.0,33.0,11.0,0.0,59.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Female,50-64 years,554.0,6734.0,573.0,264.0,14.0,876.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Female,55-64 years,455.0,5395.0,477.0,219.0,10.0,722.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Female,65-74 years,721.0,9740.0,853.0,365.0,16.0,1223.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Female,75-84 years,972.0,13396.0,1011.0,410.0,36.0,1608.0
09/27/2023,01/01/2022,12/31/2022,By Year,Michigan,Female,85 years and over,1424.0,19310.0,1148.0,431.0,34.0,2175.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Male,1-4 years,0.0,42.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Male,65-74 years,149.0,8606.0,547.0,52.0,21.0,665.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Male,75-84 years,278.0,9528.0,660.0,113.0,23.0,847.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Male,85 years and over,279.0,8057.0,477.0,100.0,17.0,671.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Female,50-64 years,73.0,4276.0,266.0,25.0,13.0,327.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Female,55-64 years,66.0,3462.0,225.0,23.0,11.0,279.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Female,65-74 years,135.0,6515.0,406.0,40.0,17.0,517.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Female,75-84 years,259.0,9060.0,491.0,70.0,23.0,703.0
09/27/2023,01/01/2023,09/23/2023,By Year,Michigan,Female,85 years and over,388.0,12749.0,584.0,113.0,20.0,878.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Male,50-64 years,328.0,4429.0,304.0,139.0,17.0,510.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Male,55-64 years,267.0,3512.0,243.0,114.0,12.0,408.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Male,65-74 years,559.0,5393.0,517.0,253.0,20.0,841.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Male,75-84 years,925.0,6641.0,726.0,328.0,19.0,1342.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Male,85 years and over,1123.0,7554.0,798.0,363.0,17.0,1574.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Female,50-64 years,169.0,2684.0,227.0,73.0,18.0,341.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Female,55-64 years,134.0,2140.0,185.0,62.0,16.0,273.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Female,65-74 years,378.0,3822.0,345.0,149.0,16.0,589.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Female,75-84 years,690.0,6208.0,555.0,233.0,12.0,1024.0
09/27/2023,01/01/2020,12/31/2020,By Year,Minnesota,Female,85 years and over,1537.0,11433.0,915.0,386.0,20.0,2085.0
09/27/2023,01/01/2021,12/31/2021,By Year,Minnesota,Male,25-34 years,47.0,773.0,33.0,17.0,0.0,63.0
09/27/2023,01/01/2021,12/31/2021,By Year,Minnesota,Male,30-39 years,75.0,924.0,46.0,32.0,0.0,89.0
09/27/2023,01/01/2021,12/31/2021,By Year,Minnesota,Male,35-44 years,102.0,1067.0,66.0,45.0,0.0,123.0
09/27/2023,01/01/2021,12/31/2021,By Year,Minnesota,Male,65-74 years,690.0,5740.0,621.0,365.0,0.0,946.0
